id,route,departure,destination,icao_location,classification,selection_code,text,criticality,score,reason
NOTAM_1_80177653,OKC_JFK,KOKC,KJFK,KMUI,MIL,QMNXX,"ALL ACFT ARE TO AVOID THE DESIGNATED RESTRICTED AREA DUE TO CONSTRUCTION. ACFT ARE PROHIBITED FROM USING THE TAXI LANES AT PADS B3, C3-C5, D3-D5, AND E3-E5. PARKING PAD ACCESS INSTRUCTIONS - A3 AND B4-B6 PADS ARE ONLY ACCESSIBLE FROM THE EAST END. E3-E5 PADS ARE ONLY ACCESSIBLE FROM THE WEST END OF THEIR RESPECTIVE PADS, ACFT MUST BE MANUALLY TURNED AT PADS A3, B4-B6, AND E3-E5 AFTER ENGINE SHUTDOWN TO ENSURE CLEARANCE FROM THE RESTRICTED AREA AND BARRICADES ARE NOT DISTURBED.",INFO,5,Military facility construction restrictions not affecting commercial flight route KOKC-KJFK.
NOTAM_1_80177736,OKC_JFK,KOKC,KJFK,KMUI,MIL,QMNXX,"ALL USE CAUTION MOUNDS OF SNOW 4 FEET OR HIGHER AROUND S-TAXIWAY, WEST & EAST PAD, SOUTH PAD AND RAMP",INFO,5,Snow mounds at MUI military facility unrelated to KOKC-KJFK commercial route.
NOTAM_1_80226484,OKC_JFK,KOKC,KJFK,KMUI,MIL,QFAXX,USE CAUTION MULTIPLE AREAS CLOSED ON RAMP DUE TO RESURFACING CONSTRUCTION. PLEASE CONTACT AIRFIELD OPERATIONS AT 717-861-8963 FOR MOST CURRENT INFORMATION ON CLOSURES,LOW,20,"Ramp construction at unrelated military facility, no impact on KOKC-KJFK route."
NOTAM_1_80271258,OKC_JFK,KOKC,KJFK,KMUI,MIL,QFAXX,"GUN 23 PAD SIDES/SLOPED AREA CLOSED DUE TO UNSAFE CONDITIONS ON SLOPED AREAS. CEMENT PAD IS STILL OPEN FOR OPERATIONS, REMAIN OFF GRASS",INFO,5,Military facility closure unrelated to commercial flight route KOKC-KJFK.
NOTAM_1_80324275,OKC_JFK,KOKC,KJFK,KOKC,INTL,QMRLC,OKC RWY 18/36 CLSD EXC XNG,HIGH,95,Runway closure at departure airport directly impacts flight operations and safety.
NOTAM_1_80326214,OKC_JFK,KOKC,KJFK,KOKC,INTL,QMRLC,OKC RWY 17L/35R CLSD EXC XNG,HIGH,85,Runway closure at departure airport directly impacts takeoff operations
NOTAM_1_80292210,OKC_JFK,KOKC,KJFK,KTUL,INTL,QITAU,TUL NAV ILS RWY 36R CAT II NA,LOW,25,"ILS CAT II outage at alternate airport, minimal impact on primary route."
NOTAM_1_78982510,OKC_JFK,KOKC,KJFK,KXNA,DOM,None,RWY 34L RWY END ID LGT U/S,LOW,25,"Runway end identifier lights outage at XNA, not on flight route KOKC-KJFK."
NOTAM_1_78982557,OKC_JFK,KOKC,KJFK,KXNA,DOM,None,RWY 16R RWY END ID LGT U/S,LOW,25,"Runway end identifier lights outage at XNA, not on flight route KOKC-KJFK."
NOTAM_1_78982562,OKC_JFK,KOKC,KJFK,KXNA,DOM,None,RWY 34L PAPI U/S,INFO,5,PAPI outage at XNA not on flight route KOKC-KJFK
NOTAM_1_78983385,OKC_JFK,KOKC,KJFK,KXNA,DOM,None,RWY 16R PAPI U/S,LOW,25,PAPI outage at XNA airport not on flight route KOKC-KJFK
NOTAM_1_79840912,OKC_JFK,KOKC,KJFK,KXNA,INTL,QMRLC,XNA RWY 16R/34L CLSD EXC TAX,LOW,20,Runway closure at XNA not on flight route KOKC-KJFK.
NOTAM_1_80142519,OKC_JFK,KOKC,KJFK,KXNA,DOM,None,SVC ATIS NOT AVBL,INFO,5,ATIS outage at XNA does not affect KOKC-KJFK flight operations.
NOTAM_1_79567977,OKC_JFK,KOKC,KJFK,KCVG,DOM,None,APRON RAMP 1 SOUTH TXL BTN GATE A4 AND 79FT W GATE A6 CLSD,LOW,20,Ramp closure at CVG not on flight route KOKC-KJFK.
NOTAM_1_80179002,OKC_JFK,KOKC,KJFK,KLUK,DOM,None,AD AP CUST CLSD EXC 48HR PPR 513-708-9043,LOW,20,Customs closure at KLUK doesn't impact KOKC-KJFK domestic flight operations.
NOTAM_1_80295089,OKC_JFK,KOKC,KJFK,KCVG,DOM,None,APRON TXL E BTN TXL E SPOT 20 AND TXL E SPOT 19 8FT SN PILES ADJ E SIDE,LOW,20,"Snow piles on taxiway at CVG, not on flight route KOKC-KJFK."
NOTAM_1_80313274,OKC_JFK,KOKC,KJFK,KCVG,DOM,None,TWY U EDGE MARKINGS NOT STD,LOW,25,"Non-standard taxiway markings at CVG, not on flight route KOKC-KJFK."
NOTAM_1_80325392,OKC_JFK,KOKC,KJFK,KCVG,INTL,QMRLC,CVG RWY 09/27 CLSD,LOW,25,"Runway closure at CVG, not on flight route from KOKC to KJFK."
NOTAM_1_80325399,OKC_JFK,KOKC,KJFK,KCVG,INTL,QMRLC,CVG RWY 09/27 CLSD,LOW,25,"Runway closure at CVG, not on flight route KOKC-KJFK."
NOTAM_1_80233383,OKC_JFK,KOKC,KJFK,KILN,INTL,QIUAU,ILN NAV ILS RWY 22R CAT III NA,LOW,25,"ILS CAT III outage at ILN, not on flight route KOKC-KJFK."
NOTAM_1_79130436,OKC_JFK,KOKC,KJFK,KPTW,DOM,None,RWY 28 PAPI U/S,LOW,25,"PAPI outage at alternate airport, minimal impact on primary KOKC-KJFK route"
NOTAM_1_79130779,OKC_JFK,KOKC,KJFK,KPTW,DOM,None,AD AP SFC COND NOT REP DLY 2200-0600,INFO,10,Surface condition reporting outage at unrelated airport KPTW.
NOTAM_1_76169554,OKC_JFK,KOKC,KJFK,KSMQ,DOM,None,RWY 17/35 N 650FT CLSD,LOW,25,Runway closure at KSMQ not on KOKC-KJFK route or alternate airports.
NOTAM_1_80289231,OKC_JFK,KOKC,KJFK,KPNE,INTL,QMRLC,PNE RWY 15/33 CLSD,LOW,20,Runway closure at PNE airport not on flight route KOKC-KJFK.
NOTAM_1_80320250,OKC_JFK,KOKC,KJFK,KABE,INTL,QITAU,ABE NAV ILS RWY 06 CAT II NA,LOW,25,"ILS CAT II outage at ABE, not on flight route KOKC-KJFK."
NOTAM_1_79444259,OKC_JFK,KOKC,KJFK,KMMU,DOM,None,TWY L1 CLSD TO HEL AND ACFT WINGSPAN MORE THAN 50FT,LOW,20,"Taxiway closure at MMU, not on flight route KOKC-KJFK."
NOTAM_1_79444276,OKC_JFK,KOKC,KJFK,KMMU,DOM,None,TWY L2 CLSD TO HEL AND ACFT WINGSPAN MORE THAN 50FT,LOW,20,Taxiway closure at MMU airport not on flight route KOKC-KJFK.
NOTAM_1_79444286,OKC_JFK,KOKC,KJFK,KMMU,DOM,None,TWY L3 CLSD TO HEL AND ACFT WINGSPAN MORE THAN 50FT,LOW,20,"Taxiway closure at MMU, not on flight route KOKC-KJFK."
NOTAM_1_80268329,OKC_JFK,KOKC,KJFK,KTEB,INTL,QMRLC,TEB RWY 06/24 CLSD,LOW,25,Runway closure at TEB does not affect KOKC-KJFK flight path or operations.
NOTAM_1_80327999,OKC_JFK,KOKC,KJFK,KEWR,DOM,None,APRON TERMINAL A RAMP TXL A12 WEST OF TXL F3 CLSD,LOW,20,Ramp closure at EWR does not affect KOKC-KJFK flight operations.
NOTAM_1_80325270,OKC_JFK,KOKC,KJFK,KHPN,DOM,None,APRON MAIN TERMINAL RAMP BTN GATE 1 AND GATE 6 CLSD EXC SKED AIR CARRIER OPS,LOW,20,Ramp closure at HPN affects neither departure KOKC nor destination KJFK airports.
NOTAM_1_80327723,OKC_JFK,KOKC,KJFK,KJFK,INTL,QMRLC,JFK RWY 13L/31R CLSD,HIGH,95,Runway closure at destination airport directly impacts landing operations and flight safety.
NOTAM_1_80327848,OKC_JFK,KOKC,KJFK,KJFK,INTL,QMRLC,JFK RWY 04L/22R CLSD,HIGH,95,Runway closure at destination airport directly impacts landing operations
NOTAM_1_80323540,OKC_JFK,KOKC,KJFK,KOKC,INTL,QMRXX,A0441/26 NOTAMC A0440/26 Q) KZFW/QMRXX/IV/NBO/A/000/999/3524N09736W005  A) KOKC B) 2603091612 E)  OKC RWY 17R/35L CLSD EXC XNG AND TAX CANCELED,HIGH,85,Runway 17R/35L closure at departure airport directly impacts takeoff operations.
NOTAM_1_80325930,OKC_JFK,KOKC,KJFK,KOKC,INTL,QMRXX,A0445/26 NOTAMC A0442/26 Q) KZFW/QMRXX/IV/NBO/A/000/999/3524N09736W005  A) KOKC B) 2603091952 E)  OKC RWY 17R/35L CLSD EXC XNG AND TAX CANCELED,HIGH,85,Runway closure at departure airport directly impacts takeoff operations
NOTAM_1_80319229,OKC_JFK,KOKC,KJFK,KTUL,INTL,QMRXX,A0282/26 NOTAMC A0262/26 Q) KZKC/QMRXX/IV/NBO/A/000/999/3612N09553W005  A) KTUL B) 2603091105 E)  TUL RWY 18L/36R CLSD CANCELED,INFO,5,"Runway closure cancellation at TUL, not on flight route KOKC-KJFK."
NOTAM_1_80325478,OKC_JFK,KOKC,KJFK,KTUL,INTL,QITXX,A0283/26 NOTAMC A0271/26 Q) KZKC/QITXX/I/NBO/A/000/999/3612N09553W005  A) KTUL B) 2603091903 E)  TUL NAV ILS RWY 36R CAT II NA CANCELED,LOW,25,"ILS CAT II outage at alternate airport, minimal impact on KOKC-KJFK route."
NOTAM_1_80325872,OKC_JFK,KOKC,KJFK,KSGF,INTL,QMRXX,A0595/26 NOTAMC A0586/26 Q) KZKC/QMRXX/IV/NBO/A/000/999/3715N09323W005  A) KSGF B) 2603091946 E)  SGF RWY 14/32 CLSD CANCELED,INFO,5,"Runway closure cancellation at SGF, not on KOKC-KJFK route."
NOTAM_1_80323022,OKC_JFK,KOKC,KJFK,KILN,INTL,QMRXX,A0054/26 NOTAMC A0051/26 Q) KZID/QMRXX/IV/NBO/A/000/999/3926N08348W005  A) KILN B) 2603091531 E)  ILN RWY 04L/22R CLSD CANCELED,INFO,5,"Runway closure cancellation at ILN, not on KOKC-KJFK route."
NOTAM_1_80325848,OKC_JFK,KOKC,KJFK,KMDT,INTL,QITXX,A0822/26 NOTAMC A0815/26 Q) KZNY/QITXX/I/NBO/A/000/999/4012N07646W005  A) KMDT B) 2603091944 E)  MDT NAV ILS RWY 13 CAT II NA CANCELED,INFO,5,ILS outage at MDT airport not on flight route KOKC-KJFK.
NOTAM_1_80301205,OKC_JFK,KOKC,KJFK,KEWR,INTL,QITXX,A1611/26 NOTAMC A1607/26 Q) KZNY/QITXX/I/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603070824 E)  EWR NAV ILS RWY 04R CAT II/III NA CANCELED,LOW,25,"ILS outage at alternate airport, not on direct flight path."
NOTAM_1_80301206,OKC_JFK,KOKC,KJFK,KEWR,INTL,QITXX,A1612/26 NOTAMC A1608/26 Q) KZNY/QITXX/I/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603070825 E)  EWR NAV ILS RWY 22L CAT II/III NA CANCELED,LOW,25,"ILS outage at alternate airport, not on direct flight path."
NOTAM_1_80301324,OKC_JFK,KOKC,KJFK,KEWR,INTL,QMRXX,A1615/26 NOTAMC A1605/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603070849 E)  EWR RWY 04R/22L CLSD CANCELED,LOW,25,"Runway closure at alternate airport, not on direct flight path."
NOTAM_1_80301325,OKC_JFK,KOKC,KJFK,KEWR,INTL,QMRXX,A1616/26 NOTAMC A1606/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603070849 E)  EWR RWY 11/29 CLSD CANCELED,LOW,25,"EWR runway closure canceled, no impact on KOKC-KJFK flight path."
NOTAM_1_80306298,OKC_JFK,KOKC,KJFK,KEWR,INTL,QMRXX,A1622/26 NOTAMC A1621/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603071842 E)  EWR RWY 11/29 CLSD CANCELED,INFO,5,"Cancellation of runway closure at alternate airport, no operational impact."
NOTAM_1_80317810,OKC_JFK,KOKC,KJFK,KEWR,INTL,QITXX,A1648/26 NOTAMC A1645/26 Q) KZNY/QITXX/I/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603090743 E)  EWR NAV ILS RWY 22L CAT II/III NA CANCELED,LOW,25,"ILS outage at alternate airport, not on direct flight path."
NOTAM_1_80317856,OKC_JFK,KOKC,KJFK,KEWR,INTL,QITXX,A1651/26 NOTAMC A1638/26 Q) KZNY/QITXX/I/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603090752 E)  EWR NAV ILS RWY 22L CAT II/III NA CANCELED,MEDIUM,45,"ILS CAT II/III outage at nearby airport, minimal impact on KOKC-KJFK flight."
NOTAM_1_80318556,OKC_JFK,KOKC,KJFK,KEWR,INTL,QMRXX,A1653/26 NOTAMC A1643/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603090937 E)  EWR RWY 04R/22L CLSD CANCELED,LOW,25,"Runway closure at alternate airport, not on direct flight path."
NOTAM_1_80318557,OKC_JFK,KOKC,KJFK,KEWR,INTL,QMRXX,A1654/26 NOTAMC A1644/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4042N07410W005  A) KEWR B) 2603090938 E)  EWR RWY 11/29 CLSD CANCELED,LOW,25,"EWR runway closure canceled, no impact on KOKC-KJFK flight path."
NOTAM_1_80299983,OKC_JFK,KOKC,KJFK,KJFK,INTL,QMRXX,A3208/26 NOTAMC A3205/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4038N07347W005  A) KJFK B) 2603070456 E)  JFK RWY 13L/31R CLSD CANCELED,HIGH,85,Runway closure cancellation at destination airport affects landing operations
NOTAM_1_80308259,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1538/26 NOTAMC A1526/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603072343 E)  LGA RWY 04/22 CLSD CANCELED,LOW,25,"Runway closure at LGA but flight is KOKC to KJFK, not affecting route."
NOTAM_1_80310650,OKC_JFK,KOKC,KJFK,KLGA,INTL,QITXX,A1545/26 NOTAMC A1540/26 Q) KZNY/QITXX/I/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603080748 E)  LGA NAV ILS RWY 22 CAT II NA CANCELED,LOW,25,"ILS CAT II outage at LGA, not on flight route KOKC-KJFK."
NOTAM_1_80313442,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1551/26 NOTAMC A1539/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603081555 E)  LGA RWY 04/22 CLSD CANCELED,LOW,20,"Runway closure at LGA, not on flight route from KOKC to KJFK."
NOTAM_1_80314790,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1557/26 NOTAMC A1555/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603082031 E)  LGA RWY 04/22 CLSD CANCELED,INFO,5,"NOTAM cancellation at LGA, not relevant to KOKC-KJFK flight path."
NOTAM_1_80316816,OKC_JFK,KOKC,KJFK,KJFK,INTL,QMRXX,A3240/26 NOTAMC A3238/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4038N07347W005  A) KJFK B) 2603090444 E)  JFK RWY 04R/22L CLSD CANCELED,HIGH,85,Runway closure cancellation at destination airport affects landing operations
NOTAM_1_80317453,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1566/26 NOTAMC A1558/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603090654 E)  LGA RWY 04/22 CLSD CANCELED,INFO,5,"Runway closure cancellation at LGA, not affecting KOKC-KJFK flight path."
NOTAM_1_80318214,OKC_JFK,KOKC,KJFK,KJFK,INTL,QMRXX,A3241/26 NOTAMC A3237/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4038N07347W005  A) KJFK B) 2603090850 E)  JFK RWY 04L/22R CLSD CANCELED,HIGH,85,Runway closure cancellation at destination airport affects landing operations
NOTAM_1_80318437,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1568/26 NOTAMC A1565/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603090923 E)  LGA RWY 13/31 CLSD EXC 30MIN PPR CANCELED,LOW,25,LGA runway closure doesn't affect KOKC-KJFK flight path or operations.
NOTAM_1_80318950,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1569/26 NOTAMC A1567/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603091027 E)  LGA RWY 04/22 CLSD CANCELED,INFO,5,"NOTAM cancellation at LGA, not relevant to KOKC-KJFK flight path."
NOTAM_1_80322207,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1576/26 NOTAMC A1574/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603091443 E)  LGA RWY 04/22 CLSD CANCELED,LOW,20,"Runway closure at LGA, not on flight route from KOKC to KJFK."
NOTAM_1_80325282,OKC_JFK,KOKC,KJFK,KJFK,INTL,QITXX,A3262/26 NOTAMC A3255/26 Q) KZNY/QITXX/I/NBO/A/000/999/4038N07347W005  A) KJFK B) 2603091840 E)  JFK NAV ILS RWY 13L CAT II NA CANCELED,MEDIUM,65,ILS CAT II unavailable at destination runway affects precision approach capability.
NOTAM_1_80326302,OKC_JFK,KOKC,KJFK,KLGA,INTL,QMRXX,A1580/26 NOTAMC A1579/26 Q) KZNY/QMRXX/IV/NBO/A/000/999/4047N07352W005  A) KLGA B) 2603092030 E)  LGA RWY 04/22 CLSD CANCELED,LOW,20,"Runway closure at LGA, not on flight route from KOKC to KJFK."
NOTAM_1_78473026,OKC_JFK,KOKC,KJFK,KTIK,MIL,QPICH,"[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT ILS OR LOC/DME Z RWY 36 INCREASE CIRCLING MDA TO 1880/HAA 590 CAT AB, VIS CAT AB 1 WHILE TEMPORARY CRANE OPERATIONS IN EFFECT. TEMPORARY CRANE LOCATED AT 35-23-56.57N, 097-23-40.70W (ASN 2025-ASW-3278-OE) OPERATING DAILY DURING DAYTIME VFR CONDITIONS. CONTACT TINKER AFB CONTROL TOWER OR AIRFIELD MANAGEMENT FOR STATUS OF CRANE.",LOW,25,Military airfield approach procedure change not affecting civilian KOKC-KJFK route.
NOTAM_1_78473102,OKC_JFK,KOKC,KJFK,KTIK,MIL,QPICH,"[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT LOC/DME RWY 31 INCREASE CIRCLING MDA TO 1880/HAA 590 CAT AB, VIS CAT AB 1 WHILE TEMPORARY CRANE OPERATIONS IN EFFECT. TEMPORARY CRANE LOCATED AT 35-23-56.57N, 097-23-40.70W (ASN 2025-ASW-3278-OE) OPERATING DAILY DURING DAYTIME VFR CONDITIONS. CONTACT TINKER AFB CONTROL TOWER OR AIRFIELD MANAGEMENT FOR STATUS OF CRANE.",LOW,25,Military airfield approach procedure change not affecting civilian KOKC-KJFK route.
NOTAM_1_78473117,OKC_JFK,KOKC,KJFK,KTIK,MIL,QPICH,"[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT RNAV (GPS) RWY 36 INCREASE CIRCLING MDA TO 1880/HAA 590 CAT AB, VIS CAT AB 1 WHILE TEMPORARY CRANE OPERATIONS IN EFFECT. TEMPORARY CRANE LOCATED AT 35-23-56.57N, 097-23-40.70W (ASN 2025-ASW-3278-OE) OPERATING DAILY DURING DAYTIME VFR CONDITIONS. CONTACT TINKER AFB CONTROL TOWER OR AIRFIELD MANAGEMENT FOR STATUS OF CRANE.",LOW,25,Military airfield approach procedure change not affecting civilian KOKC-KJFK route.
NOTAM_1_78473122,OKC_JFK,KOKC,KJFK,KTIK,MIL,QPICH,"[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT RNAV (GPS) RWY 18 INCREASE CIRCLING MDA TO 1880/HAA 590 CAT AB, VIS CAT AB 1 WHILE TEMPORARY CRANE OPERATIONS IN EFFECT. TEMPORARY CRANE LOCATED AT 35-23-56.57N, 097-23-40.70W (ASN 2025-ASW-3278-OE) OPERATING DAILY DURING DAYTIME VFR CONDITIONS. CONTACT TINKER AFB CONTROL TOWER OR AIRFIELD MANAGEMENT FOR STATUS OF CRANE.",LOW,25,Military airfield approach procedure change not affecting civilian KOKC-KJFK route.
NOTAM_1_78473138,OKC_JFK,KOKC,KJFK,KTIK,MIL,QPICH,"[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT TACAN Z RWY 18 INCREASE CIRCLING MDA TO 1880/HAA 590 CAT AB, VIS CAT AB 1 WHILE TEMPORARY CRANE OPERATIONS IN EFFECT. TEMPORARY CRANE LOCATED AT 35-23-56.57N, 097-23-40.70W (ASN 2025-ASW-3278-OE) OPERATING DAILY DURING DAYTIME VFR CONDITIONS. CONTACT TINKER AFB CONTROL TOWER OR AIRFIELD MANAGEMENT FOR STATUS OF CRANE.",LOW,25,Military airfield approach procedure change not affecting civilian KOKC-KJFK route.
NOTAM_1_78856958,OKC_JFK,KOKC,KJFK,KTIK,MIL,QPICH,"[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT TACAN Z RWY 36 INCREASE CIRCLING MDA TO 1880/HAA 590 CAT AB, VIS CAT AB 1 WHILE TEMPORARY CRANE OPERATIONS IN EFFECT. TEMPORARY CRANE LOCATED AT 35-23-56.57N, 097-23-40.70W (ASN 2025-ASW-3278-OE) OPERATING DAILY DURING DAYTIME VFR CONDITIONS. CONTACT TINKER AFB CONTROL TOWER OR AIRFIELD MANAGEMENT FOR STATUS OF CRANE.",LOW,25,Military airfield approach procedure change not affecting civilian KOKC-KJFK route.
NOTAM_1_79618136,OKC_JFK,KOKC,KJFK,KHMY,MIL,QLXAS,RWY 18/36 EDGE LGT  UNSERVICEABLE   LESS THAN 85% EDGE LIGHTING OPERATIONAL,INFO,5,Military airport runway lighting issue unrelated to commercial flight route.
NOTAM_1_80319750,OKC_JFK,KOKC,KJFK,KZFW,INTL,QSPLC,ZFW SVC SHEPPARD APP CLSD,MEDIUM,45,Approach control closure may affect traffic flow and routing in ZFW airspace.
NOTAM_1_80228748,OKC_JFK,KOKC,KJFK,KMUI,MIL,QPICH,[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT COPTER RNAV (GPS) RWY 25 PROCEDURE N/A AT NIGHT. VDP N/A.,INFO,5,"Military helicopter procedure at unrelated airport, no impact on commercial flight."
NOTAM_1_80228793,OKC_JFK,KOKC,KJFK,KMUI,MIL,QPICH,"[US DOD PROCEDURAL NOTAM] INSTRUMENT APPROACH PROCEDURE AMENDMENT COPTER ILS OR LOC RWY 25 WHEN RAV VOR OTS, RADAR OR GPS REQUIRED FOR ALL AIRCRAFT CONDUCTING MISSED APPROACH TO BAARN.",LOW,25,"Military copter approach amendment at unrelated airport, no impact on commercial route."
NOTAM_1_78870879,OKC_JFK,KOKC,KJFK,KOKC,INTL,QMXLC,OKC TWY A6 CLSD EXC ACFT WINGSPAN LESS THAN 118FT,MEDIUM,45,Taxiway closure at departure airport affects ground operations but allows smaller aircraft.
NOTAM_1_79148813,OKC_JFK,KOKC,KJFK,KOKC,INTL,QMXLC,OKC TWY A BTN TWY A4 AND TWY A6 CLSD TO ACFT WINGSPAN MORE THAN 118FT,MEDIUM,45,Taxiway closure at departure airport may affect ground operations for wide-body aircraft.
NOTAM_1_80324280,OKC_JFK,KOKC,KJFK,KOKC,INTL,QMXLC,OKC TWY B BTN APCH END RWY 18 AND APCH END RWY 35L CLSD,MEDIUM,45,Taxiway closure at departure airport may impact ground operations and taxi routing.
NOTAM_1_80168319,OKC_JFK,KOKC,KJFK,KTUL,INTL,QMXLC,TUL TWY B BTN TWY J AND TWY K CLSD,LOW,25,Taxiway closure at TUL airport not on flight route KOKC-KJFK.
